quarter,index
1990-Q1,24.3
1990-Q2,24.4
1990-Q3,25
1990-Q4,24.7
1991-Q1,24.9
1991-Q2,25.5
1991-Q3,25.2
1991-Q4,25.1
1992-Q1,25.8
1992-Q2,27.4
1992-Q3,28
1992-Q4,28.6
1993-Q1,30.2
1993-Q2,39.6
1993-Q3,47.7
1993-Q4,49
1994-Q1,50.4
1994-Q2,51.7
1994-Q3,54.6
1994-Q4,54.8
1995-Q1,57.3
1995-Q2,63.9
1995-Q3,67.7
1995-Q4,73.7
1996-Q1,80.5
1996-Q2,90.9
1996-Q3,96.4
1996-Q4,99
1997-Q1,98.6
1997-Q2,97.5
1997-Q3,93.6
1997-Q4,88
1998-Q1,81.7
1998-Q2,78.3
1998-Q3,74.9
1998-Q4,72.3
1999-Q1,71.2
1999-Q2,72.2
1999-Q3,78.1
1999-Q4,79.8
2000-Q1,80.3
2000-Q2,79.3
2000-Q3,77.6
2000-Q4,75.8
2001-Q1,73.2
2001-Q2,72.1
2001-Q3,70.6
2001-Q4,69.6
2002-Q1,69.1
2002-Q2,69.2
2002-Q3,69.9
2002-Q4,69.9
2003-Q1,71
2003-Q2,72.5
2003-Q3,74.3
2003-Q4,75.1
2004-Q1,75.3
2004-Q2,76.2
2004-Q3,76.3
2004-Q4,77.1
2005-Q1,77.2
2005-Q2,73.5
2005-Q3,73.2
2005-Q4,73.5
2006-Q1,73.6
2006-Q2,74.3
2006-Q3,74.2
2006-Q4,74.9
2007-Q1,75.8
2007-Q2,78.1
2007-Q3,83.2
2007-Q4,88
2008-Q1,91.3
2008-Q2,95.4
2008-Q3,99.4
2008-Q4,100.8
2009-Q1,100
2009-Q2,101.4
2009-Q3,105
2009-Q4,109
2010-Q1,112.1
2010-Q2,116.6
2010-Q3,121.3
2010-Q4,124.4
2011-Q1,126.4
2011-Q2,130.4
2011-Q3,135.4
2011-Q4,137.7
2012-Q1,138.5
2012-Q2,140.3
2012-Q3,143.1
2012-Q4,146.7
2013-Q1,148.6
2013-Q2,149.4
2013-Q3,148.1
2013-Q4,145.8
2014-Q1,143.5
2014-Q2,141.5
2014-Q3,139.1
2014-Q4,137
2015-Q1,135.6
2015-Q2,135
2015-Q3,134.6
2015-Q4,134.8
2016-Q1,134.7
